vowel.code	token.code	dur	step	stepSize	start.time	end.time	formant	freq	speaker
jibj1	jibj1-CM-subject1_list1_sent11	163.80	1	0.01489	1.498	1.513	F1	335.64	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	1	0.01489	1.498	1.513	F2	2483.27	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	1	0.01489	1.498	1.513	F3	2650.95	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	2	0.01489	1.513	1.528	F1	384.40	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	2	0.01489	1.513	1.528	F2	2640.17	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	2	0.01489	1.513	1.528	F3	2784.58	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	3	0.01489	1.528	1.543	F1	359.39	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	3	0.01489	1.528	1.543	F2	2675.87	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	3	0.01489	1.528	1.543	F3	2792.16	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	4	0.01489	1.543	1.557	F1	304.78	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	4	0.01489	1.543	1.557	F2	2635.16	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	4	0.01489	1.543	1.557	F3	2774.11	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	5	0.01489	1.557	1.572	F1	278.46	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	5	0.01489	1.557	1.572	F2	2637.14	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	5	0.01489	1.557	1.572	F3	2761.27	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	6	0.01489	1.572	1.587	F1	265.59	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	6	0.01489	1.572	1.587	F2	2734.29	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	6	0.01489	1.572	1.587	F3	2817.82	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	7	0.01489	1.587	1.602	F1	344.18	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	7	0.01489	1.587	1.602	F2	2708.47	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	7	0.01489	1.587	1.602	F3	2760.90	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	8	0.01489	1.602	1.617	F1	355.34	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	8	0.01489	1.602	1.617	F2	2666.76	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	8	0.01489	1.602	1.617	F3	2798.94	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	9	0.01489	1.617	1.632	F1	318.22	CM-subject1
jibj1	jibj1-CM-subject1_list1_sent11	163.80	9	0.01489	1.617	1.632	F2	2724.51	CM-subject1
