file,label,group,color,number
CM-subject1_list1_sent11_0001.wav,jibj1,1,Black,1
CM-subject1_list1_sent12_0001.wav,0idw1,2,Black,2
CM-subject1_list1_sent15_0001.wav,wubw1,3,Black,3
CM-subject1_list1_sent17_0001.wav,0ikw1,4,Black,4
CM-subject1_list1_sent2_0001.wav,jibw1,5,Black,5
CM-subject1_list1_sent20_0001.wav,wagw1,6,Black,6
CM-subject1_list1_sent21_0001.wav,0udw1,7,Black,7
CM-subject1_list1_sent22_0001.wav,wagj1,8,Black,8
CM-subject1_list1_sent23_0001.wav,wukj1,9,Black,9
CM-subject1_list1_sent27_0001.wav,0atj1,10,Black,10
CM-subject1_list1_sent3_0001.wav,watw1,11,Black,11
CM-subject1_list1_sent31_0001.wav,jukw1,12,Black,12
CM-subject1_list1_sent32_0001.wav,jidj1,13,Black,13
CM-subject1_list1_sent33_0001.wav,wabj1,14,Black,14
CM-subject1_list1_sent35_0001.wav,wabw1,15,Black,15
CM-subject1_list1_sent36_0001.wav,jikj1,16,Black,16
CM-subject1_list1_sent5_0001.wav,wudj1,17,Black,17
CM-subject1_list1_sent8_0001.wav,wubj1,18,Black,18
CM-subject1_list2_sent11_0001.wav,jibj2,19,Black,19
CM-subject1_list2_sent12_0001.wav,0idw2,20,Black,20
CM-subject1_list2_sent15_0001.wav,wubw2,21,Black,21
CM-subject1_list2_sent17_0001.wav,0ikw2,22,Black,22
CM-subject1_list2_sent2_0001.wav,jibw2,23,Black,23
CM-subject1_list2_sent20_0001.wav,wagw2,24,Black,24
CM-subject1_list2_sent21_0001.wav,0udw2,25,Black,25
CM-subject1_list2_sent22_0001.wav,wagj2,26,Black,26
CM-subject1_list2_sent23_0001.wav,wukj2,27,Black,27
CM-subject1_list2_sent27_0001.wav,0atj2,28,Black,28
CM-subject1_list2_sent3_0001.wav,watw2,29,Black,29
CM-subject1_list2_sent31_0001.wav,jukw2,30,Black,30
CM-subject1_list2_sent32_0001.wav,jidj2,31,Black,31
CM-subject1_list2_sent33_0001.wav,wabj2,32,Black,32
CM-subject1_list2_sent35_0001.wav,wabw2,33,Black,33
CM-subject1_list2_sent36_0001.wav,jikj2,34,Black,34
CM-subject1_list2_sent5_0001.wav,wudj2,35,Black,35
CM-subject1_list2_sent8_0001.wav,wubj2,36,Black,36
CM-subject1_list3_sent11_0001.wav,jibj3,37,Black,37
CM-subject1_list3_sent12_0001.wav,0idw3,38,Black,38
CM-subject1_list3_sent15_0001.wav,wubw3,39,Black,39
CM-subject1_list3_sent17_0001.wav,0ikw3,40,Black,40
CM-subject1_list3_sent2_0001.wav,jibw3,41,Black,41
CM-subject1_list3_sent20_0001.wav,wagw3,42,Black,42
CM-subject1_list3_sent21_0001.wav,0udw3,43,Black,43
CM-subject1_list3_sent22_0001.wav,wagj3,44,Black,44
CM-subject1_list3_sent23_0001.wav,wukj3,45,Black,45
CM-subject1_list3_sent27_0001.wav,0atj3,46,Black,46
CM-subject1_list3_sent3_0001.wav,watw3,47,Black,47
CM-subject1_list3_sent31_0001.wav,jukw3,48,Black,48
CM-subject1_list3_sent32_0001.wav,jidj3,49,Black,49
CM-subject1_list3_sent33_0001.wav,wabj3,50,Black,50
CM-subject1_list3_sent35_0001.wav,wabw3,51,Black,51
CM-subject1_list3_sent36_0001.wav,jikj3,52,Black,52
CM-subject1_list3_sent5_0001.wav,wudj3,53,Black,53
CM-subject1_list3_sent8_0001.wav,wubj3,54,Black,54
CM-subject1_list4_sent11_0001.wav,jibj4,55,Black,55
CM-subject1_list4_sent12_0001.wav,0idw4,56,Black,56
CM-subject1_list4_sent15_0001.wav,wubw4,57,Black,57
CM-subject1_list4_sent17_0001.wav,0ikw4,58,Black,58
CM-subject1_list4_sent2_0001.wav,jibw4,59,Black,59
CM-subject1_list4_sent20_0001.wav,wagw4,60,Black,60
CM-subject1_list4_sent21_0001.wav,0udw4,61,Black,61
CM-subject1_list4_sent22_0001.wav,wagj4,62,Black,62
CM-subject1_list4_sent23_0001.wav,wukj4,63,Black,63
CM-subject1_list4_sent27_0001.wav,0atj4,64,Black,64
CM-subject1_list4_sent3_0001.wav,watw4,65,Black,65
