segment	code	word	start.time	token.code	interval.num	step	step.size	seg.dur	pitch.Hz	pitch.ERB	mean.pitch.Hz	mean.pitch.ERB	min.pitch.Hz	min.pitch.ERB	max.pitch.Hz	max.pitch.ERB	pitch.range.min	pitch.range.max	speaker
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	1	0.0087	78.169	255.248	6.4664	254.560	6.4532	244.987	6.2708	259.879	6.5538	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	2	0.0087	78.169	257.257	6.5044	254.560	6.4532	244.987	6.2708	259.879	6.5538	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	3	0.0087	78.169	254.882	6.4595	254.560	6.4532	244.987	6.2708	259.879	6.5538	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	4	0.0087	78.169	255.699	6.4750	254.560	6.4532	244.987	6.2708	259.879	6.5538	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	5	0.0087	78.169	256.691	6.4938	254.560	6.4532	244.987	6.2708	259.879	6.5538	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	6	0.0087	78.169	255.865	6.4781	254.560	6.4532	244.987	6.2708	259.879	6.5538	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	7	0.0087	78.169	255.165	6.4649	254.560	6.4532	244.987	6.2708	259.879	6.5538	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	8	0.0087	78.169	252.329	6.4109	254.560	6.4532	244.987	6.2708	259.879	6.5538	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	9	0.0087	78.169	248.119	6.3303	254.560	6.4532	244.987	6.2708	259.879	6.5538	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	1	0.0111	100.292	301.059	7.2988	285.956	7.0318	279.427	6.9148	315.875	7.5542	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	2	0.0111	100.292	287.996	7.0688	285.956	7.0318	279.427	6.9148	315.875	7.5542	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	3	0.0111	100.292	283.600	6.9901	285.956	7.0318	279.427	6.9148	315.875	7.5542	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	4	0.0111	100.292	283.431	6.9870	285.956	7.0318	279.427	6.9148	315.875	7.5542	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	5	0.0111	100.292	283.633	6.9907	285.956	7.0318	279.427	6.9148	315.875	7.5542	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	6	0.0111	100.292	283.815	6.9939	285.956	7.0318	279.427	6.9148	315.875	7.5542	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	7	0.0111	100.292	284.890	7.0133	285.956	7.0318	279.427	6.9148	315.875	7.5542	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	8	0.0111	100.292	282.967	6.9787	285.956	7.0318	279.427	6.9148	315.875	7.5542	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	9	0.0111	100.292	282.215	6.9651	285.956	7.0318	279.427	6.9148	315.875	7.5542	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	1	0.0193	173.879	254.042	6.4429	280.920	6.9404	249.026	6.3479	291.463	7.1307	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	2	0.0193	173.879	272.427	6.7866	280.920	6.9404	249.026	6.3479	291.463	7.1307	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	3	0.0193	173.879	278.181	6.8920	280.920	6.9404	249.026	6.3479	291.463	7.1307	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	4	0.0193	173.879	278.625	6.9001	280.920	6.9404	249.026	6.3479	291.463	7.1307	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	5	0.0193	173.879	282.710	6.9740	280.920	6.9404	249.026	6.3479	291.463	7.1307	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	6	0.0193	173.879	287.081	7.0525	280.920	6.9404	249.026	6.3479	291.463	7.1307	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	7	0.0193	173.879	289.553	7.0967	280.920	6.9404	249.026	6.3479	291.463	7.1307	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	8	0.0193	173.879	288.889	7.0848	280.920	6.9404	249.026	6.3479	291.463	7.1307	148.9578	479.6016	S01
