segment	code	word	start.time	token.code	interval.num	step	step.size	seg.dur	pitch.Hz	pitch.ERB	mean.pitch.Hz	mean.pitch.ERB	min.pitch.Hz	min.pitch.ERB	min.pitch.loc	min.pitch.loc.perc	max.pitch.Hz	max.pitch.ERB	max.pitch.loc	max.pitch.loc.perc	pitch.range.min	pitch.range.max	speaker
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	1	0.0087	78.169	254.618	6.4545	255.050	6.4627	254.165	6.4459	63.976	0.818	255.728	6.4756	31.088	0.398	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	2	0.0087	78.169	255.149	6.4646	255.050	6.4627	254.165	6.4459	63.976	0.818	255.728	6.4756	31.088	0.398	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	3	0.0087	78.169	255.563	6.4724	255.050	6.4627	254.165	6.4459	63.976	0.818	255.728	6.4756	31.088	0.398	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	4	0.0087	78.169	255.708	6.4752	255.050	6.4627	254.165	6.4459	63.976	0.818	255.728	6.4756	31.088	0.398	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	5	0.0087	78.169	255.580	6.4728	255.050	6.4627	254.165	6.4459	63.976	0.818	255.728	6.4756	31.088	0.398	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	6	0.0087	78.169	255.118	6.4640	255.050	6.4627	254.165	6.4459	63.976	0.818	255.728	6.4756	31.088	0.398	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	7	0.0087	78.169	254.493	6.4522	255.050	6.4627	254.165	6.4459	63.976	0.818	255.728	6.4756	31.088	0.398	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	8	0.0087	78.169	254.243	6.4474	255.050	6.4627	254.165	6.4459	63.976	0.818	255.728	6.4756	31.088	0.398	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	565.524	S01-1	6	9	0.0087	78.169	254.845	6.4588	255.050	6.4627	254.165	6.4459	63.976	0.818	255.728	6.4756	31.088	0.398	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	1	0.0111	100.292	302.083	7.3175	286.754	7.0460	273.804	6.8120	100.292	1.000	306.415	7.3929	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	2	0.0111	100.292	293.407	7.1651	286.754	7.0460	273.804	6.8120	100.292	1.000	306.415	7.3929	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	3	0.0111	100.292	287.333	7.0570	286.754	7.0460	273.804	6.8120	100.292	1.000	306.415	7.3929	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	4	0.0111	100.292	284.616	7.0083	286.754	7.0460	273.804	6.8120	100.292	1.000	306.415	7.3929	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	5	0.0111	100.292	283.924	6.9959	286.754	7.0460	273.804	6.8120	100.292	1.000	306.415	7.3929	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	6	0.0111	100.292	283.907	6.9956	286.754	7.0460	273.804	6.8120	100.292	1.000	306.415	7.3929	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	7	0.0111	100.292	283.814	6.9939	286.754	7.0460	273.804	6.8120	100.292	1.000	306.415	7.3929	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	8	0.0111	100.292	282.983	6.9790	286.754	7.0460	273.804	6.8120	100.292	1.000	306.415	7.3929	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	879.708	S01-10	10	9	0.0111	100.292	278.723	6.9018	286.754	7.0460	273.804	6.8120	100.292	1.000	306.415	7.3929	0	0	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	1	0.0193	173.879	259.212	6.5412	280.115	6.9260	257.808	6.5148	13.574	0.078	288.810	7.0835	127.856	0.735	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	2	0.0193	173.879	268.319	6.7110	280.115	6.9260	257.808	6.5148	13.574	0.078	288.810	7.0835	127.856	0.735	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	3	0.0193	173.879	276.425	6.8600	280.115	6.9260	257.808	6.5148	13.574	0.078	288.810	7.0835	127.856	0.735	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	4	0.0193	173.879	279.490	6.9158	280.115	6.9260	257.808	6.5148	13.574	0.078	288.810	7.0835	127.856	0.735	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	5	0.0193	173.879	282.800	6.9756	280.115	6.9260	257.808	6.5148	13.574	0.078	288.810	7.0835	127.856	0.735	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	6	0.0193	173.879	286.538	7.0428	280.115	6.9260	257.808	6.5148	13.574	0.078	288.810	7.0835	127.856	0.735	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	7	0.0193	173.879	288.577	7.0793	280.115	6.9260	257.808	6.5148	13.574	0.078	288.810	7.0835	127.856	0.735	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	8	0.0193	173.879	286.578	7.0435	280.115	6.9260	257.808	6.5148	13.574	0.078	288.810	7.0835	127.856	0.735	148.9578	479.6016	S01
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	9	0.0193	173.879	282.714	6.9741	280.115	6.9260	257.808	6.5148	13.574	0.078	288.810	7.0835	127.856	0.735	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	1	0.0093	84.028	290.388	7.1116	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	2	0.0093	84.028	286.670	7.0452	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	3	0.0093	84.028	283.767	6.9931	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	4	0.0093	84.028	282.889	6.9773	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	5	0.0093	84.028	283.738	6.9926	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	6	0.0093	84.028	285.324	7.0211	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	7	0.0093	84.028	286.896	7.0493	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	8	0.0093	84.028	288.533	7.0785	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	9	0.0093	84.028	290.931	7.1212	286.571	7.0433	282.759	6.9749	31.949	0.380	292.498	7.1491	84.028	1.000	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	1	0.0112	100.834	297.193	7.2320	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	2	0.0112	100.834	293.824	7.1725	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	3	0.0112	100.834	289.560	7.0968	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	4	0.0112	100.834	285.350	7.0215	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	5	0.0112	100.834	281.628	6.9545	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	6	0.0112	100.834	278.707	6.9016	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	7	0.0112	100.834	276.747	6.8659	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	8	0.0112	100.834	275.723	6.8472	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	9	0.0112	100.834	276.141	6.8549	283.875	6.9941	275.558	6.8442	87.727	0.870	298.304	7.2515	0	0	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	1	0.0077	69.429	292.792	7.1543	265.643	6.6525	208.430	5.5392	69.429	1.000	294.771	7.1893	0	0	148.9578	479.6016	S01
