segment	word	token.code	dur	step	stepSize	start.time	end.time	jitter	shimmer	hnr	f1	f2	f3	H1Hz	H2Hz	H1-H2	H1dB	H2dB	H1-A1	A1dB	H1-A2	A2dB	H1-A3	A3dB	pitch.range.min	pitch.range.max	prec.seg	next.seg	prec.seg.wd	next.seg.wd	speaker
AS1	yaj	S01-chunked_aTjij-1-2-3	70	1	0.035	0.51	0.545	NA	0.0908	NA	697.483	2173.374	3273.164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
AS1	yaj	S01-chunked_aTjij-1-2-3	70	2	0.035	0.545	0.58	NA	0.0908	NA	812.486	2124.851	2997.741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
ES1	tek7	S01-chunked_aTjij-1-3-6	150	1	0.075	1	1.075	0.0067	0.0908	18.8164	527.411	2219.852	3185.824	247.558	495.116	-4.4171	56.8301	61.2651	-4.4171	61.2651	19.1958	37.5724	21.3163	35.4466	132.919	480.015	T	KG	T	KG	S01
ES1	tek7	S01-chunked_aTjij-1-3-6	150	2	0.075	1.075	1.15	0.0141	0.0908	26.2148	544.142	2479.344	3145.007	258.468	516.937	-5.0336	54.081	59.1329	-5.0336	59.1329	15.2828	38.7529	16.0045	38.0294	132.919	480.015	T	KG	T	KG	S01
AST1	a8jij	S01-chunked_aTjij-1-5-10	155.64	1	0.07782	1.641	1.719	0.0185	0.0908	26.1013	999.598	1614.591	2773.789	218.953	437.907	5.7119	49.6688	43.9504	1.2707	48.3966	2.7429	46.9227	20.0173	29.6321	132.919	480.015	GS	H	GS	H	S01
AST1	a8jij	S01-chunked_aTjij-1-5-10	155.64	2	0.07782	1.719	1.797	0.0149	0.0908	25.4503	1015.835	1670.045	3275.543	291.46	582.92	7.6915	56.3627	48.6618	2.3755	53.9842	6.6469	49.7077	28.3443	27.9908	132.919	480.015	GS	H	GS	H	S01
IS0	tijb7ij	S01-chunked_aTjij-1-7-15	150	1	0.075	2.28	2.355	0.0124	0.0908	15.1121	560.271	1966.039	2937.844	222.421	444.842	-1.9589	53.0151	54.9806	20.7177	32.2421	25.686	27.2645	20.8799	32.0795	132.919	480.015	T	H	T	H	S01
IS0	tijb7ij	S01-chunked_aTjij-1-7-15	150	2	0.075	2.355	2.43	0.0323	0.0908	18.3165	1004.16	2505.138	3363.076	178.046	356.092	8.8891	57.2716	48.372	26.6274	30.6181	25.2175	32.029	26.7353	30.5102	132.919	480.015	T	H	T	H	S01
IS1	tijb7ij	S01-chunked_aTjij-1-7-18	510	1	0.255	2.88	3.135	NA	0.0908	NA	1080.131	3432.651	3707.522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
IS1	tijb7ij	S01-chunked_aTjij-1-7-18	510	2	0.255	3.135	3.39	NA	0.0908	NA	1122.749	3762.142	3813.506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
AS1	yaj	S01-chunked_aTnm-2-2-3	30	1	0.015	0.51	0.525	NA	0.0799	NA	1234.255	2256.231	3219.062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
AS1	yaj	S01-chunked_aTnm-2-2-3	30	2	0.015	0.525	0.54	NA	0.0799	NA	1242.181	2526.173	3776.764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
ES1	tek7	S01-chunked_aTnm-2-3-6	150	1	0.075	0.87	0.945	0.0049	0.0799	9.3339	486.019	2280.752	3261.874	231.684	463.368	-2.9893	48.3047	51.3058	-2.9893	51.3058	17.9009	30.3482	21.1915	27.0502	132.919	480.015	T	KG	T	KG	S01
ES1	tek7	S01-chunked_aTnm-2-3-6	150	2	0.075	0.945	1.02	0.0204	0.0799	22.3498	476.255	2522.309	3080.745	232.653	465.307	-4.6108	45.6877	50.3166	-4.6108	50.3166	16.8506	28.7859	19.053	26.5785	132.919	480.015	T	KG	T	KG	S01
AST1	a8nm	S01-chunked_aTnm-2-4-9	175.5	1	0.08775	1.324	1.412	0.0218	0.0799	29.5863	1097.418	1656.826	2957.3	217.138	434.275	5.8254	46.9909	41.1597	4.7407	42.2454	7.0777	39.9063	25.6946	21.2766	132.919	480.015	GS	N	GS	N	S01
AST1	a8nm	S01-chunked_aTnm-2-4-9	175.5	2	0.08775	1.412	1.5	0.0082	0.0799	30.7641	905.079	1688.25	3014.762	268.136	536.272	7.4298	51.175	43.7354	20.4105	30.7412	11.6125	39.5478	34.9376	16.2045	132.919	480.015	GS	N	GS	N	S01
IS0	tijb7ij	S01-chunked_aTnm-2-5-13	160	1	0.08	2.03	2.11	0.0053	0.0799	25.4067	586.573	2100.307	3101.29	204.352	408.703	-1.5927	44.3469	45.9436	2.3414	41.9999	19.6252	24.6843	18.9551	25.3554	132.919	480.015	T	H	T	H	S01
IS0	tijb7ij	S01-chunked_aTnm-2-5-13	160	2	0.08	2.11	2.19	0.0285	0.0799	24.311	907.768	2248.77	3332.213	172.708	345.417	5.8797	48.7304	42.8436	23.1132	25.5944	19.2122	29.4982	26.7237	21.9817	132.919	480.015	T	H	T	H	S01
IS1	tijb7ij	S01-chunked_aTnm-2-5-16	510	1	0.255	2.48	2.735	NA	0.0799	NA	1015.485	3275.967	3579.113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
IS1	tijb7ij	S01-chunked_aTnm-2-5-16	510	2	0.255	2.735	2.99	NA	0.0799	NA	1030.704	2309.195	3782.569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	BG	H	BG	H	S01
AS1	yaj	S01-chunked_aab7-3-2-3	30	1	0.015	0.51	0.525	NA	0.0904	NA	838.981	1674.166	2649.109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
AS1	yaj	S01-chunked_aab7-3-2-3	30	2	0.015	0.525	0.54	NA	0.0904	NA	844.426	1651.026	2685.358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132.919	480.015	Y	H	Y	H	S01
ES1	tek7	S01-chunked_aab7-3-3-6	160	1	0.08	1.11	1.19	0.0085	0.0904	11.5354	544.683	2194.797	3232.448	242.922	485.844	-4.3474	57.5071	61.8712	8.427	49.0514	17.2996	40.1535	20.3218	37.1238	132.919	480.015	T	KG	T	KG	S01
ES1	tek7	S01-chunked_aab7-3-3-6	160	2	0.08	1.19	1.27	0.0181	0.0904	24.0185	568.947	2461.708	3095.752	278.394	556.787	-6.3271	54.6029	60.9515	-6.3271	60.9515	12.2605	42.3076	17.0771	37.4798	132.919	480.015	T	KG	T	KG	S01
AL1	aab7	S01-chunked_aab7-3-4-9	128.42	1	0.06421	1.521	1.585	0.0167	0.0904	26.6593	1015.916	1675.241	2956.731	237.803	475.607	1.4916	53.1295	51.6359	-4.059	57.194	3.4029	49.7222	22.6872	30.4185	132.919	480.015	GS	BG	GS	BG	S01
AL1	aab7	S01-chunked_aab7-3-4-9	128.42	2	0.06421	1.585	1.649	0.01	0.0904	28.5958	915.699	1591.156	3022.966	274.277	548.554	1.0132	54.6856	53.6708	0.9162	53.768	3.5694	51.1107	21.9817	32.6758	132.919	480.015	GS	BG	GS	BG	S01
IS0	tijb7ij	S01-chunked_aab7-3-5-14	128.39	1	0.06419	2.092	2.156	0.0077	0.0904	16.551	494.129	1868.075	3041.012	216.931	433.861	-2.2304	54.909	57.1491	16.8245	38.0243	22.8581	31.9745	26.4658	28.3585	132.919	480.015	NA	H	NA	H	S01
